date,time,currency,impact,event
2024-01-05,08:30,USD,HIGH,Non-Farm Employment Change
2024-01-11,08:30,USD,HIGH,CPI m/m
2024-01-12,08:30,USD,HIGH,PPI m/m
2024-01-22,22:00,JPY,HIGH,BOJ Rate Decision
2024-01-25,08:15,EUR,HIGH,Main Refinancing Rate
2024-01-31,14:00,USD,HIGH,FOMC Rate Decision
2024-02-01,07:00,GBP,HIGH,Official Bank Rate
2024-02-02,08:30,USD,HIGH,Non-Farm Employment Change
2024-02-05,22:30,AUD,HIGH,RBA Rate Decision
2024-02-13,08:30,USD,HIGH,CPI m/m
2024-02-16,08:30,USD,HIGH,PPI m/m
2024-03-07,08:15,EUR,HIGH,Main Refinancing Rate
2024-03-08,08:30,USD,HIGH,Non-Farm Employment Change
2024-03-12,08:30,USD,HIGH,CPI m/m
2024-03-14,08:30,USD,HIGH,PPI m/m
2024-03-18,23:00,JPY,HIGH,BOJ Rate Decision
2024-03-18,23:30,AUD,HIGH,RBA Rate Decision
2024-03-20,14:00,USD,HIGH,FOMC Rate Decision
2024-03-21,08:00,GBP,HIGH,Official Bank Rate
2024-04-05,08:30,USD,HIGH,Non-Farm Employment Change
2024-04-10,08:30,USD,HIGH,CPI m/m
2024-04-11,08:15,EUR,HIGH,Main Refinancing Rate
2024-04-11,08:30,USD,HIGH,PPI m/m
2024-04-25,23:00,JPY,HIGH,BOJ Rate Decision
2024-05-01,14:00,USD,HIGH,FOMC Rate Decision
2024-05-03,08:30,USD,HIGH,Non-Farm Employment Change
2024-05-07,00:30,AUD,HIGH,RBA Rate Decision
2024-05-09,07:00,GBP,HIGH,Official Bank Rate
2024-05-14,08:30,USD,HIGH,PPI m/m
2024-05-15,08:30,USD,HIGH,CPI m/m
2024-06-06,08:15,EUR,HIGH,Main Refinancing Rate
2024-06-07,08:30,USD,HIGH,Non-Farm Employment Change
2024-06-12,08:30,USD,HIGH,CPI m/m
2024-06-12,14:00,USD,HIGH,FOMC Rate Decision
2024-06-13,08:30,USD,HIGH,PPI m/m
2024-06-13,23:00,JPY,HIGH,BOJ Rate Decision
2024-06-18,00:30,AUD,HIGH,RBA Rate Decision
2024-06-20,07:00,GBP,HIGH,Official Bank Rate
2024-07-05,08:30,USD,HIGH,Non-Farm Employment Change
2024-07-11,08:30,USD,HIGH,CPI m/m
2024-07-12,08:30,USD,HIGH,PPI m/m
2024-07-18,08:15,EUR,HIGH,Main Refinancing Rate
2024-07-30,23:00,JPY,HIGH,BOJ Rate Decision
2024-07-31,14:00,USD,HIGH,FOMC Rate Decision
2024-08-01,07:00,GBP,HIGH,Official Bank Rate
2024-08-02,08:30,USD,HIGH,Non-Farm Employment Change
2024-08-06,00:30,AUD,HIGH,RBA Rate Decision
2024-08-13,08:30,USD,HIGH,PPI m/m
2024-08-14,08:30,USD,HIGH,CPI m/m
2024-09-06,08:30,USD,HIGH,Non-Farm Employment Change
2024-09-11,08:30,USD,HIGH,CPI m/m
2024-09-12,08:15,EUR,HIGH,Main Refinancing Rate
2024-09-12,08:30,USD,HIGH,PPI m/m
2024-09-18,14:00,USD,HIGH,FOMC Rate Decision
2024-09-19,07:00,GBP,HIGH,Official Bank Rate
2024-09-19,23:00,JPY,HIGH,BOJ Rate Decision
2024-09-24,00:30,AUD,HIGH,RBA Rate Decision
2024-10-04,08:30,USD,HIGH,Non-Farm Employment Change
2024-10-10,08:30,USD,HIGH,CPI m/m
2024-10-11,08:30,USD,HIGH,PPI m/m
2024-10-17,08:15,EUR,HIGH,Main Refinancing Rate
2024-10-30,23:00,JPY,HIGH,BOJ Rate Decision
2024-11-01,08:30,USD,HIGH,Non-Farm Employment Change
2024-11-04,22:30,AUD,HIGH,RBA Rate Decision
2024-11-07,07:00,GBP,HIGH,Official Bank Rate
2024-11-07,14:00,USD,HIGH,FOMC Rate Decision
2024-11-13,08:30,USD,HIGH,CPI m/m
2024-11-14,08:30,USD,HIGH,PPI m/m
2024-12-06,08:30,USD,HIGH,Non-Farm Employment Change
2024-12-09,22:30,AUD,HIGH,RBA Rate Decision
2024-12-11,08:30,USD,HIGH,CPI m/m
2024-12-12,08:15,EUR,HIGH,Main Refinancing Rate
2024-12-12,08:30,USD,HIGH,PPI m/m
2024-12-18,14:00,USD,HIGH,FOMC Rate Decision
2024-12-18,22:00,JPY,HIGH,BOJ Rate Decision
2024-12-19,07:00,GBP,HIGH,Official Bank Rate
